Temps,Delay
1697451988953.0,6
1697451993952.0,5
1697451998959.0,11
1697452003959.0,10
1697452008961.0,11
1697452013967.0,11
1697452018970.0,12
1697452023969.0,11
1697452028975.0,12
1697452033974.0,10
1697452038975.0,11
1697452043975.0,9
1697452048979.0,11
1697452053980.0,11
1697452058984.0,11
1697452063983.0,10
1697452068983.0,10
1697452073985.0,9
1697452078991.0,9
1697452083987.0,6
1697452088998.0,12
1697452093996.0,10
1697452098996.0,10
1697452104001.0,10
1697452109008.0,11
1697452114007.0,11
1697452119007.0,9
1697452124008.0,10
1697452129008.0,9
1697452134014.0,10
1697452139018.0,9
1697452144019.0,10
1697452149026.0,12
1697452154023.0,9
1697452159026.0,11
1697452164030.0,9
1697452169033.0,10
1697452174033.0,9
1697452179039.0,9
1697452184039.0,9
1697452189040.0,10
1697452194041.0,9
1697452199047.0,9
1697452204047.0,9
1697452209053.0,10
1697452214052.0,9
1697452219052.0,9
1697452224057.0,9
1697452229063.0,10
1697452234063.0,10
1697452239071.0,12
1697452244069.0,9
1697452249069.0,9
1697452254076.0,11
1697452259080.0,9
1697452264079.0,9
1697452269080.0,9
1697452274081.0,9
1697452279080.0,9
1697452284086.0,10
1697452289090.0,9
1697452294091.0,9
1697452299097.0,10
1697452304097.0,9
1697452309098.0,9
1697452314104.0,10
1697452319107.0,12
1697452324105.0,9
1697452329110.0,9
1697452334110.0,9
1697452339111.0,9
1697452344112.0,9
1697452349112.0,9
1697452354112.0,8
1697452359119.0,9
1697452364120.0,9
1697452369122.0,10
1697452374125.0,9
1697452379130.0,9
1697452384130.0,9
1697452389137.0,11
1697452394135.0,8
1697452399135.0,8
1697452404141.0,9
1697452409140.0,7
1697452414143.0,10
1697452419142.0,8
1697452424143.0,8
1697452429145.0,10
1697452434148.0,9
1697452439153.0,9
1697452444153.0,9
1697452449158.0,9
1697452454158.0,9
1697452459153.0,4
1697452464158.0,9
1697452469159.0,9
1697452474159.0,8
1697452479165.0,8
1697452484166.0,8
1697452489168.0,9
1697452494169.0,9
1697452499173.0,8
1697452504174.0,8
1697452509180.0,9
1697452514185.0,13
1697452519181.0,9
1697452524181.0,9
1697452529182.0,9
1697452534182.0,8
1697452539188.0,9
1697452544188.0,9
1697452549188.0,9
1697452554190.0,9
1697452559193.0,9
1697452564193.0,9
1697452569187.0,3
1697452574193.0,9
1697452579193.0,9
1697452584194.0,8
1697452589190.0,3
1697452594196.0,8
1697452599202.0,9
1697452604203.0,9
1697452609203.0,8
1697452614206.0,8
1697452619208.0,9
1697452624208.0,9
1697452629211.0,9
1697452634211.0,8
1697452639210.0,8
1697452644210.0,8
1697452649216.0,9
1697452654216.0,9
1697452659221.0,9
1697452664221.0,8
1697452669222.0,9
1697452674226.0,8
1697452679233.0,9
1697452684233.0,8
1697452689239.0,9
1697452694238.0,8
1697452699242.0,12
1697452704243.0,8
1697452709249.0,9
1697452714249.0,8
1697452719249.0,9
1697452724249.0,8
1697452729249.0,8
1697452734254.0,8
1697452739259.0,8
1697452744260.0,8
1697452749265.0,8
1697452754266.0,9
1697452759266.0,8
1697452764271.0,8
1697452769277.0,8
1697452774278.0,9
1697452779279.0,8
1697452784279.0,8
1697452789280.0,8
1697452794285.0,8
1697452799291.0,9
1697452804290.0,8
1697452809295.0,8
1697452814295.0,8
1697452819296.0,8
1697452826039.0,12
1697452831044.0,16
1697452836039.0,9
1697452841044.0,9
1697452846045.0,9
1697452851047.0,9
1697452856052.0,9
1697452861057.0,9
1697452866060.0,10
1697452871064.0,12
1697452876062.0,9
1697452881062.0,9
1697452886067.0,9
1697452891069.0,9
1697452896074.0,13
1697452901074.0,9
1697452906077.0,9
1697452911079.0,8
1697452916081.0,9
1697452921082.0,9
1697452926082.0,8
1697452931082.0,8
1697452936084.0,8
1697452941086.0,9
1697452946088.0,9
1697452951091.0,9
1697452956094.0,12
1697452961095.0,8
1697452966097.0,8
1697452971099.0,9
1697452976101.0,8
1697452981106.0,8
1697452986109.0,9
1697452991109.0,9
1697452996111.0,9
1697453001113.0,9
1697453006117.0,8
1697453011122.0,8
1697453016124.0,8
1697453021130.0,9
1697453026136.0,12
1697453031135.0,8
1697453036140.0,8
1697453041143.0,6
1697453046148.0,8
1697453051149.0,9
1697453056150.0,8
1697453061153.0,8
1697453066158.0,8
1697453071164.0,9
1697453076166.0,8
1697453081172.0,9
1697453086177.0,11
1697453091175.0,7
1697453096181.0,8
1697453101182.0,6
1697453106187.0,9
1697453111185.0,7
1697453116187.0,8
1697453121188.0,9
1697453126183.0,3
1697453131193.0,8
1697453136189.0,4
1697453144918.0,11
1697453149916.0,8
1697453154918.0,7
1697453159924.0,8
1697453164925.0,8
1697453169931.0,8
1697453174938.0,14
1697453179933.0,8
1697453184938.0,8
1697453189942.0,8
1697453194943.0,8
1697453199944.0,8
1697453204947.0,10
1697453209946.0,8
