Temps,Fcpu1
1697489878,240
1697489879,240
1697489879,240
1697489880,240
1697489880,240
1697489881,240
1697489881,240
1697489882,240
1697489882,240
1697489883,240
1697489883,240
1697489884,240
1697489884,240
1697489885,240
1697489885,240
1697489886,240
1697489886,240
1697489887,240
1697489887,240
1697489888,240
1697489888,240
1697489889,240
1697489889,240
1697489890,240
1697489890,240
1697489891,240
1697489891,240
1697489892,240
1697489892,240
1697489893,240
1697489893,240
1697489894,240
1697489894,240
1697489895,240
1697489895,240
1697489896,240
1697489896,240
1697489897,240
1697489897,240
1697489898,240
1697489898,240
1697489899,240
1697489899,240
1697489900,240
1697489900,240
1697489901,240
1697489901,240
1697489902,240
1697489902,240
1697489903,240
1697489903,240
1697489904,240
1697489904,240
1697489905,240
1697489905,240
1697489906,240
1697489906,240
1697489907,240
1697489907,240
1697489908,240
1697489908,240
1697489909,240
1697489909,240
1697489910,240
1697489910,240
1697489911,240
1697489911,240
1697489912,240
1697489913,240
1697489913,240
1697489914,240
1697489914,240
1697489915,240
1697489915,240
1697489916,240
1697489916,240
1697489917,240
1697489917,240
1697489918,240
1697489918,240
1697489919,240
1697489919,240
1697489920,240
1697489920,240
1697489921,240
1697489921,240
1697489922,240
1697489922,240
1697489923,240
1697489923,240
1697489924,240
1697489924,240
1697489925,240
1697489925,240
1697489926,240
1697489926,240
1697489927,240
1697489928,240
1697489928,240
1697489928,240
1697489929,240
1697489929,240
1697489930,240
1697489930,240
1697489931,240
1697489931,240
1697489932,240
1697489932,240
1697489933,240
1697489933,240
1697489934,240
1697489934,240
1697489935,240
1697489935,240
1697489936,240
1697489936,240
1697489937,240
1697489937,240
1697489938,240
1697489938,240
1697489939,240
1697489939,240
1697489940,240
1697489940,240
1697489941,240
1697489941,240
1697489942,240
1697489942,240
1697489943,240
1697489943,240
1697489944,240
1697489944,240
1697489945,240
1697489945,240
1697489946,240
1697489946,240
1697489947,240
1697489947,240
1697489948,240
1697489948,240
1697489949,240
1697489949,240
1697489950,240
1697489950,240
1697489951,240
1697489951,240
1697489952,240
1697489952,240
1697489953,240
1697489953,240
1697489954,240
1697489955,240
