Temps,Temperature,Frequency,Cpu_usage,Cpu_memory,Classe
1697489865.779,41.868,1800.0,3.8,8.0,normal
1697489866.282,41.381,1800.0,2.5,8.2,normal
1697489866.785,40.894,1800.0,2.5,8.3,normal
1697489867.288,42.355,1800.0,2.5,8.4,normal
1697489867.79,40.407,1800.0,10.6,8.7,normal
1697489868.293,41.381,1800.0,4.0,8.8,normal
1697489868.795,41.868,1800.0,9.4,8.8,normal
1697489869.298,41.381,1800.0,10.8,8.9,normal
1697489869.801,41.868,1800.0,2.0,8.9,normal
1697489870.305,41.868,700.0,6.0,8.9,normal
1697489870.81,41.868,1000.0,14.0,9.0,normal
1697489871.312,42.842,1800.0,23.1,9.2,normal
1697489871.815,42.842,1800.0,39.7,9.5,normal
1697489872.318,42.842,1800.0,17.0,9.7,normal
1697489872.821,43.816,1800.0,21.6,9.8,normal
1697489873.323,43.329,1800.0,29.1,10.0,normal
1697489873.826,42.842,1800.0,24.4,10.1,normal
1697489874.329,43.816,1800.0,20.6,10.2,normal
1697489874.832,42.842,1800.0,28.9,9.8,normal
1697489875.335,45.277,1800.0,29.9,10.0,normal
1697489875.838,44.303,1800.0,21.4,10.1,normal
1697489876.341,43.329,1800.0,25.5,10.2,normal
1697489876.844,43.816,1800.0,28.1,10.0,normal
1697489877.347,45.764,1800.0,64.0,10.2,normal
1697489877.849,44.303,1800.0,50.8,10.5,normal
1697489878.352,45.277,1800.0,19.1,10.5,normal
1697489878.855,44.79,1800.0,4.5,10.5,normal
1697489879.357,44.303,1800.0,3.0,10.5,normal
1697489879.86,44.79,1800.0,4.9,10.5,normal
1697489880.362,43.816,1800.0,3.0,10.5,normal
1697489880.865,43.816,1800.0,7.4,10.6,normal
1697489881.37,44.303,600.0,4.5,10.6,normal
1697489881.874,43.816,1100.0,8.9,10.6,normal
1697489882.377,43.329,1800.0,10.0,10.6,normal
1697489882.879,43.329,1800.0,4.0,10.6,normal
1697489883.383,43.329,1800.0,23.3,10.3,normal
1697489883.886,43.329,1800.0,29.1,10.7,normal
1697489884.388,43.329,1800.0,3.5,10.7,normal
1697489884.891,43.816,1800.0,4.5,10.7,normal
1697489885.393,43.816,1800.0,4.0,10.7,normal
1697489885.896,42.842,1800.0,4.5,10.7,normal
1697489886.398,43.329,1800.0,4.5,10.7,normal
1697489886.901,43.329,1800.0,4.0,10.7,normal
1697489887.405,43.816,900.0,4.5,10.7,normal
1697489887.909,42.842,900.0,4.0,10.7,normal
1697489888.413,43.329,1100.0,8.5,10.7,normal
1697489888.915,42.842,1800.0,10.5,10.7,normal
1697489889.418,43.816,1800.0,17.2,10.3,normal
1697489889.921,44.303,1800.0,34.7,10.7,normal
1697489890.423,42.842,1800.0,3.0,10.7,normal
1697489890.926,43.329,1800.0,5.0,10.7,normal
1697489891.429,43.816,1800.0,2.0,10.7,normal
1697489891.931,42.842,1800.0,4.5,10.7,normal
1697489892.434,43.816,1800.0,3.5,10.7,normal
1697489892.937,43.329,1800.0,4.0,10.7,normal
1697489893.439,43.329,1800.0,5.5,10.7,normal
1697489893.944,42.842,800.0,5.0,10.7,normal
1697489894.448,42.842,800.0,4.9,10.7,normal
1697489894.952,42.842,900.0,4.5,10.7,normal
1697489895.455,43.329,1800.0,13.5,10.1,normal
1697489895.959,43.816,1800.0,37.6,10.6,normal
1697489896.462,43.816,1800.0,8.0,10.7,normal
1697489896.964,42.842,1800.0,4.5,10.7,normal
1697489897.467,43.329,1800.0,3.5,10.7,normal
1697489897.97,42.355,1800.0,3.5,10.7,normal
1697489898.472,43.816,1800.0,4.0,10.7,normal
1697489898.975,43.329,1800.0,3.5,10.7,normal
1697489899.477,44.303,1800.0,3.5,10.3,normal
1697489899.98,44.303,1800.0,4.0,10.3,normal
1697489900.485,43.329,700.0,3.0,10.3,normal
1697489900.989,42.842,800.0,5.5,10.3,normal
1697489901.492,43.816,1800.0,19.8,9.9,normal
1697489901.995,45.277,1800.0,35.5,10.3,normal
1697489902.498,44.303,1800.0,4.5,10.3,normal
1697489903.0,43.329,1800.0,5.0,10.3,normal
1697489903.503,44.303,1800.0,4.9,10.3,normal
1697489904.005,43.329,1800.0,3.0,10.3,normal
1697489904.508,42.355,1800.0,3.0,10.3,normal
1697489905.01,43.816,1800.0,4.0,10.3,normal
1697489905.513,43.816,1800.0,3.0,10.3,normal
1697489906.016,43.816,1800.0,3.5,10.3,normal
1697489906.52,43.329,700.0,4.0,10.3,normal
1697489907.026,43.816,700.0,5.0,10.3,normal
1697489907.529,43.329,1800.0,11.5,9.6,normal
1697489908.033,44.79,1800.0,35.0,10.2,normal
1697489908.536,43.816,1800.0,10.5,10.3,normal
1697489909.038,43.329,1800.0,3.0,10.3,normal
1697489909.541,43.329,1800.0,4.0,10.3,normal
