Temps,Temperature,Frequency,Cpu_usage,Cpu_memory,Classe
1697227115.953,43.329,1800.0,66.7,8.7,normal
1697227116.461,43.816,1800.0,56.7,9.4,normal
1697227116.964,42.842,1800.0,36.5,9.7,normal
1697227117.467,43.329,1800.0,31.3,9.9,normal
1697227117.97,42.842,1800.0,28.0,10.1,normal
1697227118.472,44.79,1800.0,29.5,10.3,normal
1697227118.975,44.303,1800.0,37.6,10.0,normal
1697227119.478,45.277,1800.0,30.2,10.2,normal
1697227119.981,44.303,1800.0,29.5,10.4,normal
1697227120.483,44.79,1800.0,41.4,10.4,normal
1697227120.986,45.277,1800.0,36.6,10.6,normal
1697227121.489,44.79,1800.0,4.0,10.6,normal
1697227121.992,45.277,1800.0,13.4,10.3,normal
1697227122.494,44.303,1800.0,29.3,10.6,normal
1697227122.997,45.277,1800.0,0.0,10.6,normal
1697227123.499,43.816,1800.0,0.0,10.6,normal
1697227124.002,43.816,1800.0,0.0,10.6,normal
1697227124.504,43.329,1800.0,0.5,10.6,normal
1697227125.006,43.816,1800.0,3.5,10.6,normal
1697227125.509,43.329,1800.0,0.5,10.7,normal
1697227126.015,42.355,600.0,1.0,10.7,normal
1697227126.518,43.329,1800.0,3.5,10.7,normal
1697227127.02,42.842,1800.0,2.0,10.7,normal
1697227127.523,42.842,1800.0,1.0,10.7,normal
1697227128.025,43.816,1800.0,10.0,10.2,normal
1697227128.528,45.277,1800.0,33.0,10.6,normal
1697227129.031,43.816,1800.0,0.5,10.6,normal
1697227129.533,44.303,1800.0,0.0,10.6,normal
1697227130.036,43.329,1800.0,0.0,10.6,normal
1697227130.538,42.842,1800.0,0.0,10.6,normal
1697227131.041,43.329,1800.0,1.5,10.6,normal
1697227131.545,42.842,700.0,0.0,10.6,normal
1697227132.051,43.329,600.0,0.5,10.6,normal
1697227132.556,43.329,600.0,0.5,10.6,normal
1697227133.062,41.868,600.0,0.0,10.6,normal
1697227133.567,42.355,600.0,0.5,10.6,normal
1697227134.071,42.842,1800.0,22.5,10.4,normal
1697227134.574,43.329,1800.0,23.1,10.6,normal
1697227135.076,42.355,1800.0,0.0,10.6,normal
