Temps,Fcpu2
1697138947,240
1697138947,240
1697138948,240
1697138948,240
1697138949,240
1697138949,240
1697138950,240
1697138951,240
1697138951,240
1697138951,240
1697138952,240
1697138952,240
1697138953,240
1697138953,240
1697138954,240
1697138954,240
1697138955,240
1697138955,240
1697138956,240
1697138956,240
1697138957,240
1697138957,240
1697138958,240
1697138958,240
1697138959,240
1697138959,240
1697138960,240
1697138960,240
1697138961,240
1697138961,240
1697138962,240
1697138962,240
1697138963,240
1697138963,240
1697138964,240
1697138964,240
1697138965,240
1697138965,240
1697138966,240
1697138966,240
1697138967,240
1697138967,240
1697138968,240
1697138968,240
1697138969,240
1697138969,240
1697138970,240
1697138970,240
1697138971,240
1697138971,240
1697138972,240
1697138972,240
1697138973,240
1697138973,240
1697138974,240
1697138974,240
1697138975,240
1697138975,240
1697138976,240
1697138976,240
1697138977,240
1697138977,240
1697138978,240
1697138978,240
1697138979,240
1697138979,240
1697138980,240
1697138981,240
1697138981,240
1697138981,240
1697138982,240
1697138982,240
1697138983,240
1697138983,240
1697138984,240
1697138984,240
1697138985,240
1697138985,240
1697138986,240
1697138986,240
1697138987,240
1697138987,240
1697138988,240
1697138988,240
1697138989,240
1697138989,240
1697138990,240
1697138990,240
1697138991,240
1697138991,240
1697138992,240
1697138992,240
1697138993,240
1697138993,240
1697138994,240
1697138994,240
1697138995,240
1697138995,240
1697138996,240
1697138996,240
1697138997,240
1697138997,240
1697138998,240
1697138998,240
1697138999,240
1697138999,240
1697139000,240
1697139000,240
1697139001,240
1697139001,240
1697139002,240
1697139002,240
1697139003,240
1697139003,240
1697139004,240
1697139004,240
1697139005,240
1697139005,240
1697139006,240
1697139006,240
1697139007,240
1697139007,240
1697139008,240
1697139008,240
1697139009,240
1697139009,240
1697139010,240
1697139010,240
1697139011,240
1697139011,240
1697139012,240
1697139012,240
1697139013,240
1697139013,240
1697139014,240
1697139014,240
1697139015,240
1697139015,240
1697139016,240
1697139016,240
1697139017,240
1697139017,240
1697139018,240
1697139018,240
1697139019,240
1697139019,240
1697139020,240
1697139020,240
1697139021,240
1697139021,240
1697139022,240
1697139022,240
1697139023,240
1697139023,240
1697139024,240
1697139024,240
1697139025,240
1697139025,240
1697139026,240
1697139026,240
1697139027,240
1697139027,240
1697139028,240
1697139028,240
1697139029,240
1697139029,240
1697139030,240
1697139030,240
1697139031,240
1697139031,240
1697139032,240
1697139032,240
1697139033,240
1697139033,240
1697139034,240
1697139034,240
1697139035,240
1697139035,240
1697139036,240
1697139036,240
1697139037,240
1697139037,240
1697139038,240
1697139038,240
1697139039,240
1697139039,240
1697139040,240
1697139040,240
1697139041,240
1697139041,240
1697139042,240
1697139042,240
1697139043,240
1697139043,240
1697139044,240
1697139044,240
1697139045,240
1697139045,240
1697139046,240
1697139046,240
1697139047,240
1697139047,240
1697139049,240
1697139049,240
1697139049,240
1697139049,240
1697139050,240
1697139050,240
1697139051,240
1697139051,240
1697139052,240
1697139052,240
1697139053,240
1697139053,240
1697139054,240
1697139054,240
1697139055,240
1697139055,240
1697139056,240
1697139056,240
1697139057,240
1697139057,240
1697139058,240
1697139058,240
1697139059,240
1697139059,240
1697139060,240
1697139060,240
1697139061,240
1697139061,240
1697139062,240
1697139062,240
1697139064,240
1697139064,240
1697139064,240
1697139064,240
1697139065,240
1697139065,240
1697139066,240
1697139066,240
1697139067,240
1697139067,240
1697139068,240
1697139068,240
1697139069,240
1697139071,240
