Temps,Humidite
1697138947,73
1697138947,73
1697138948,73
1697138948,73
1697138949,73
1697138949,73
1697138950,73
1697138951,73
1697138951,73
1697138951,73
1697138952,73
1697138952,73
1697138953,73
1697138953,73
1697138954,73
1697138954,73
1697138955,73
1697138955,73
1697138956,73
1697138956,73
1697138957,73
1697138957,73
1697138958,73
1697138958,73
1697138959,73
1697138959,73
1697138960,73
1697138960,73
1697138961,73
1697138961,73
1697138962,73
1697138962,73
1697138963,73
1697138963,73
1697138964,73
1697138964,73
1697138965,73
1697138965,73
1697138966,73
1697138966,73
1697138967,73
1697138967,73
1697138968,73
1697138968,73
1697138969,73
1697138969,73
1697138970,73
1697138970,73
1697138971,73
1697138971,73
1697138972,73
1697138972,73
1697138973,73
1697138973,73
1697138974,73
1697138974,73
1697138975,73
1697138975,73
1697138976,73
1697138976,73
1697138977,73
1697138977,73
1697138978,73
1697138978,73
1697138979,73
1697138979,73
1697138980,73
1697138981,73
1697138981,73
1697138981,73
1697138982,73
1697138982,73
1697138983,73
1697138983,73
1697138984,73
1697138984,73
1697138985,73
1697138985,73
1697138986,73
1697138986,73
1697138987,73
1697138987,73
1697138988,73
1697138988,73
1697138989,73
1697138989,73
1697138990,73
1697138990,73
1697138991,73
1697138991,73
1697138992,73
1697138992,73
1697138993,73
1697138993,73
1697138994,73
1697138994,73
1697138995,73
1697138995,73
1697138996,73
1697138996,73
1697138997,73
1697138997,73
1697138998,73
1697138998,73
1697138999,73
1697138999,73
1697139000,73
1697139000,73
1697139001,73
1697139001,73
1697139002,73
1697139002,73
1697139003,73
1697139003,73
1697139004,73
1697139004,73
1697139005,73
1697139005,73
1697139006,73
1697139006,73
1697139007,73
1697139007,73
1697139008,73
1697139008,73
1697139009,73
1697139009,73
1697139010,73
1697139010,73
1697139011,73
1697139011,73
1697139012,73
1697139012,73
1697139013,73
1697139013,73
1697139014,73
1697139014,73
1697139015,73
1697139015,73
1697139016,73
1697139016,73
1697139017,73
1697139017,73
1697139018,73
1697139018,73
1697139019,73
1697139019,73
1697139020,73
1697139020,73
1697139021,73
1697139021,73
1697139022,73
1697139022,73
1697139023,73
1697139023,73
1697139024,73
1697139024,73
1697139025,73
1697139025,73
1697139026,73
1697139026,73
1697139027,73
1697139027,73
1697139028,73
1697139028,73
1697139029,73
1697139029,73
1697139030,73
1697139030,73
1697139031,73
1697139031,73
1697139032,73
1697139032,73
1697139033,73
1697139033,73
1697139034,73
1697139034,73
1697139035,73
1697139035,73
1697139036,73
1697139036,73
1697139037,73
1697139037,73
1697139038,73
1697139038,73
1697139039,73
1697139039,73
1697139040,73
1697139040,73
1697139041,73
1697139041,73
1697139042,73
1697139042,73
1697139043,73
1697139043,73
1697139044,73
1697139044,73
1697139045,73
1697139045,73
1697139046,73
1697139046,73
1697139047,73
1697139047,73
1697139049,73
1697139049,73
1697139049,73
1697139049,73
1697139050,73
1697139050,73
1697139051,73
1697139051,73
1697139052,73
1697139052,73
1697139053,73
1697139053,73
1697139054,73
1697139054,73
1697139055,73
1697139055,73
1697139056,73
1697139056,73
1697139057,73
1697139057,73
1697139058,73
1697139058,73
1697139059,73
1697139059,73
1697139060,73
1697139060,73
1697139061,73
1697139061,73
1697139062,73
1697139062,73
1697139064,73
1697139064,73
1697139064,73
1697139064,73
1697139065,73
1697139065,73
1697139066,73
1697139066,73
1697139067,73
1697139067,73
1697139068,73
1697139068,73
1697139069,73
1697139071,73
1697139071,73
1697139071,73
1697139071,73
1697139071,73
1697139072,73
1697139072,73
1697139073,73
1697139073,73
1697139074,73
1697139074,73
1697139075,73
1697139075,73
1697139076,73
1697139076,73
1697139077,73
1697139077,73
1697139078,73
1697139078,73
1697139079,73
1697139079,73
1697139080,73
1697139080,73
1697139081,73
1697139081,73
1697139082,73
1697139082,73
1697139083,73
1697139083,73
1697139084,73
1697139084,73
1697139085,73
1697139085,73
1697139086,73
1697139086,73
1697139087,73
1697139087,73
1697139088,73
1697139088,73
1697139089,73
1697139089,73
1697139090,73
1697139090,73
1697139091,73
1697139091,73
1697139092,73
1697139092,73
1697139093,73
1697139093,73
1697139094,73
1697139094,73
1697139095,73
1697139095,73
1697139096,73
1697139097,73
1697139097,73
1697139097,73
1697139098,73
1697139098,73
1697139099,73
1697139099,73
1697139100,73
1697139100,73
1697139101,73
1697139101,73
1697139102,73
1697139102,73
1697139103,73
1697139103,73
1697139104,73
1697139104,73
1697139105,73
1697139105,73
1697139106,73
1697139106,73
1697139107,73
1697139107,73
1697139108,73
1697139108,73
1697139109,73
1697139109,73
1697139110,73
1697139110,73
1697139111,73
1697139111,73
1697139112,73
1697139112,73
1697139113,73
1697139113,73
1697139114,73
1697139114,73
1697139115,73
1697139115,73
1697139116,73
1697139116,73
1697139117,73
1697139117,73
1697139118,73
1697139118,73
1697139119,73
1697139119,73
1697139120,73
1697139120,73
1697139121,73
1697139121,73
1697139122,73
1697139122,73
1697139123,73
1697139123,73
1697139124,73
1697139124,73
1697139125,73
1697139125,73
1697139126,73
1697139126,73
1697139127,73
1697139127,73
1697139128,73
1697139128,73
1697139129,73
1697139129,73
1697139130,73
1697139130,73
1697139131,73
1697139131,73
1697139132,73
1697139132,73
1697139133,73
1697139133,73
1697139134,73
1697139134,73
1697139135,73
1697139135,73
1697139136,73
1697139136,73
1697139137,73
1697139137,73
1697139138,73
1697139138,73
1697139139,73
1697139139,73
1697139140,73
1697139140,73
1697139141,73
1697139141,73
1697139142,73
1697139142,73
1697139143,73
1697139143,73
1697139144,73
1697139144,73
1697139145,73
1697139145,73
1697139146,73
1697139146,73
1697139147,73
1697139147,73
1697139148,73
1697139148,73
1697139149,73
1697139149,73
1697139150,73
1697139150,73
1697139151,73
1697139151,73
1697139152,73
1697139152,73
1697139153,73
1697139153,73
1697139154,73
1697139154,73
1697139155,73
1697139155,73
1697139156,73
1697139156,73
1697139157,73
1697139157,73
1697139158,73
1697139158,73
1697139159,73
1697139159,73
1697139160,73
1697139160,73
1697139161,73
1697139161,73
1697139162,73
1697139162,73
1697139163,73
1697139163,73
1697139164,73
1697139164,73
1697139165,73
1697139165,73
1697139166,73
1697139166,73
1697139167,73
1697139167,73
1697139168,73
1697139168,73
1697139169,73
1697139169,73
1697139170,73
1697139170,73
1697139171,73
1697139171,73
1697139172,73
1697139172,73
1697139173,73
1697139173,73
1697139174,73
1697139174,73
1697139175,73
1697139175,73
1697139176,73
1697139176,73
1697139177,73
1697139177,73
1697139178,73
