Temps,Temperature,Frequency,Cpu_usage,Cpu_memory,Cluster
1697138934.661,40.894,1800.0,4.3,7.8,cluster0
1697138935.163,40.894,1800.0,3.0,8.0,cluster0
1697138935.666,40.407,1800.0,1.5,8.2,cluster0
1697138936.169,41.868,1800.0,6.9,8.4,cluster0
1697138936.672,41.381,1800.0,7.1,8.5,cluster0
1697138937.174,42.355,1800.0,6.9,8.6,cluster0
1697138937.677,40.894,1800.0,13.1,8.7,cluster0
1697138938.179,40.894,1800.0,1.0,8.7,cluster0
1697138938.682,42.355,1800.0,5.0,8.7,cluster0
1697138939.186,41.381,1000.0,14.1,8.9,cluster0
1697138939.689,41.381,1800.0,16.8,9.0,cluster0
1697138940.192,42.355,1800.0,40.1,9.3,cluster0
1697138940.695,42.355,1800.0,13.6,9.5,cluster0
1697138941.198,42.355,1800.0,22.9,9.6,cluster0
1697138941.701,42.842,1800.0,30.0,9.7,cluster0
1697138942.204,41.868,1800.0,23.0,9.9,cluster0
1697138942.706,42.842,1800.0,21.7,10.0,cluster0
1697138943.209,42.355,1800.0,30.0,9.5,cluster0
1697138943.712,44.303,1800.0,27.7,9.7,cluster0
1697138944.215,43.816,1800.0,24.3,9.9,cluster0
1697138944.717,42.842,1800.0,23.9,10.0,cluster0
1697138945.22,43.816,1800.0,27.9,10.1,cluster0
1697138945.724,45.764,1800.0,61.4,10.0,cluster0
1697138946.227,45.764,1800.0,53.8,10.3,cluster0
1697138946.73,45.277,1800.0,20.2,10.4,cluster0
1697138947.233,44.303,1800.0,5.5,10.4,cluster0
1697138947.735,44.303,1800.0,4.5,10.4,cluster0
1697138948.238,44.303,1800.0,4.5,10.4,cluster0
1697138948.74,43.329,1800.0,10.4,10.5,cluster0
1697138949.243,43.816,1800.0,4.5,10.5,cluster0
1697138949.748,43.329,700.0,5.9,10.5,cluster0
1697138950.251,44.303,1800.0,6.4,10.5,cluster0
1697138950.753,43.816,1800.0,4.0,10.5,cluster0
1697138951.256,44.303,1800.0,8.4,10.0,cluster0
1697138951.759,43.816,1800.0,30.8,10.4,cluster0
1697138952.262,43.329,1800.0,22.0,10.6,cluster0
1697138952.765,43.329,1800.0,4.0,10.6,cluster0
1697138953.267,44.303,1800.0,5.0,10.6,cluster0
1697138953.77,43.816,1800.0,5.0,10.6,cluster0
1697138954.272,43.329,1800.0,4.0,10.6,cluster0
1697138954.775,42.842,1800.0,5.9,10.6,cluster0
1697138955.28,43.816,600.0,5.9,10.6,cluster0
1697138955.786,44.303,600.0,6.5,10.6,cluster0
1697138956.292,43.816,700.0,5.5,10.6,cluster0
1697138956.798,42.842,600.0,7.8,10.6,cluster0
1697138957.305,44.303,1800.0,15.9,9.8,cluster0
1697138957.811,44.303,1800.0,35.0,10.5,cluster0
1697138958.314,44.303,1800.0,14.9,10.6,cluster0
1697138958.816,43.329,1800.0,4.5,10.6,cluster0
1697138959.319,44.303,1800.0,3.5,10.6,cluster0
1697138959.822,43.329,1800.0,6.0,10.6,cluster0
1697138960.324,44.303,1800.0,4.5,10.6,cluster0
1697138960.827,43.329,1800.0,4.4,10.6,cluster0
1697138961.329,44.303,1800.0,4.5,10.6,cluster0
1697138961.832,42.842,1800.0,6.4,10.6,cluster0
1697138962.337,44.303,700.0,7.4,10.6,cluster0
1697138962.84,43.329,1800.0,9.9,10.6,cluster0
1697138963.343,44.79,1800.0,17.5,10.1,cluster0
1697138963.846,45.764,1800.0,36.9,10.2,cluster0
1697138964.348,44.79,1800.0,4.0,10.2,cluster0
1697138964.851,44.303,1800.0,4.5,10.2,cluster0
1697138965.353,44.303,1800.0,4.0,10.2,cluster0
1697138965.856,43.816,1800.0,3.5,10.2,cluster0
1697138966.359,44.303,1800.0,5.0,10.2,cluster0
1697138966.861,43.816,1800.0,5.4,10.2,cluster0
1697138967.364,44.303,1800.0,3.5,10.2,cluster0
1697138967.867,43.816,1000.0,5.5,10.2,cluster0
1697138968.372,42.842,900.0,5.9,10.2,cluster0
1697138968.876,43.329,900.0,6.5,10.2,cluster0
1697138969.379,43.329,1800.0,12.6,9.6,cluster0
1697138969.885,44.79,1800.0,35.1,10.1,cluster0
1697138970.387,44.79,1800.0,13.4,10.2,cluster0
1697138970.89,44.79,1800.0,4.0,10.2,cluster0
1697138971.392,43.816,1800.0,4.5,10.2,cluster0
1697138971.895,42.842,1800.0,6.0,10.2,cluster0
1697138972.398,44.303,1800.0,4.5,10.2,cluster0
