Temps,Delay
1697216471731,10
1697216476724,3
1697216481733,13
1697216486730,9
1697216491725,3
1697216496734,8
1697216501731,3
1697216506737,9
1697216511742,9
1697216516742,9
1697216521743,9
1697216526748,8
1697216531751,9
1697216536752,9
1697216541756,9
1697216546755,8
1697216551755,8
1697216556759,9
1697216561763,8
1697216566760,5
1697216571771,10
1697216576771,9
1697216581771,9
1697216586775,10
1697216591780,10
1697216596780,10
1697216601782,9
1697216606787,13
1697216611784,9
1697216616788,9
1697216621794,9
1697216626794,9
1697216631800,9
1697216636803,12
1697216641800,8
1697216646805,9
1697216651810,9
1697216656811,9
1697216661816,9
1697216666816,9
1697216671816,9
1697216676822,9
1697216681827,9
1697216686828,9
1697216691834,10
1697218197646,16
1697218202633,4
1697218207638,9
1697218212636,7
1697218217637,7
1697218222633,3
1697218227637,7
1697218232636,6
1697218237633,3
1697218242635,5
1697218247633,3
1697218252633,3
1697218257635,5
1697218262635,3
1697218267640,8
1697218272635,3
1697218308627,15
1697218313614,3
1697218318615,4
1697218323615,3
1697218328619,7
1697218333616,4
1697218338616,4
1697218343616,4
1697218348617,4
1697218353617,3
1697218358621,6
1697218363618,3
1697218368618,3
1697218373618,3
1697218378618,4
1697218383619,4
1697218388622,7
1697218393618,3
1697218398621,5
1697218403619,3
1697218408619,2
1697218413624,6
1697218418621,2
1697218423621,2
1697218428622,3
1697218433623,3
1697218438624,4
1697218443625,5
1697218448622,3
1697218453623,3
1697218458623,3
1697218463624,4
1697218468627,6
1697218473625,3
1697218478626,3
1697218483625,3
1697218488625,3
1697218493629,6
1697218498625,2
1697218503626,3
1697218508626,2
1697218513627,3
1697218518628,4
1697218523629,5
1697218528627,3
1697218533627,3
1697218538628,3
1697218543628,3
1697218548629,3
1697218553633,6
1697218558631,3
1697218563630,2
1697218568630,2
1697218573631,3
1697218578644,12
1697218583635,3
1697218588635,3
1697218593635,2
1697218598635,2
1697218603638,6
1697218608635,2
1697218613635,2
1697218618635,3
1697218623636,3
1697218628638,3
1697218633641,6
1697218638639,3
1697218643638,2
1697218648638,2
