Temps,Temperature,Frequency,Cpu_usage,Cpu_memory
1699352528.351,43.329,1800.0,75.0,8.7
1699352528.855,45.764,1800.0,53.2,9.4
1699352529.358,44.303,1800.0,41.7,9.7
1699352529.86,45.277,1800.0,32.7,9.9
1699352530.363,44.303,1800.0,29.7,10.1
1699352530.866,45.764,1800.0,29.9,10.3
1699352531.369,46.251,1800.0,37.5,10.0
1699352531.872,45.764,1800.0,30.8,10.2
1699352532.374,44.79,1800.0,29.6,10.3
1699352532.877,45.764,1800.0,41.6,10.4
1699352533.38,45.764,1800.0,34.7,10.6
1699352533.883,45.764,1800.0,3.0,10.6
1699352534.386,45.764,1800.0,8.0,10.1
1699352534.888,46.251,1800.0,34.3,10.5
1699352535.391,45.764,1800.0,3.0,10.6
1699352535.893,45.764,1800.0,0.0,10.6
1699352536.396,45.277,1800.0,0.0,10.6
1699352536.898,43.816,1800.0,0.0,10.6
1699352537.4,44.79,1800.0,0.5,10.6
1699352537.902,45.277,1800.0,0.0,10.6
1699352538.408,43.816,600.0,3.0,10.6
1699352538.911,44.79,1800.0,2.0,10.6
1699352539.414,44.79,1800.0,0.5,10.6
1699352539.916,44.79,1800.0,0.0,10.6
1699352540.419,44.303,1800.0,15.9,10.3
1699352540.921,45.277,1800.0,28.6,10.6
1699352541.424,45.764,1800.0,0.0,10.6
1699352541.926,45.764,1800.0,0.0,10.6
1699352542.429,44.79,1800.0,0.5,10.6
1699352542.931,44.303,1800.0,0.5,10.6
1699352543.434,44.79,1800.0,1.0,10.6
1699352543.945,44.79,600.0,0.5,10.6
1699352544.45,45.277,600.0,0.0,10.6
1699352544.956,44.303,600.0,0.0,10.6
1699352545.462,44.79,600.0,2.0,10.6
1699352545.969,43.329,600.0,5.5,10.1
1699352546.472,44.79,1800.0,25.7,10.5
1699352546.975,45.764,1800.0,17.6,10.7
1699352547.478,44.79,1800.0,0.0,10.7
1699352547.98,43.816,1800.0,0.0,10.7
1699352548.482,44.303,1800.0,1.5,10.7
1699352548.985,44.303,1800.0,0.0,10.7
1699352549.487,44.79,1800.0,0.0,10.7
1699352549.989,44.303,1800.0,0.0,10.7
1699352550.492,45.277,1800.0,0.0,10.7
1699352550.994,44.79,1800.0,0.0,10.7
1699352551.5,44.79,600.0,1.0,10.7
1699352552.003,45.277,1800.0,13.6,10.2
1699352552.505,45.764,1800.0,33.7,10.6
1699352553.008,45.277,1800.0,0.5,10.6
1699352553.51,44.79,1800.0,1.5,10.6
1699352554.012,45.277,1800.0,0.0,10.6
1699352554.515,45.277,1800.0,12.9,10.4
1699352555.018,45.277,1800.0,10.5,10.3
1699352555.52,44.303,1800.0,0.5,10.3
1699352556.022,44.303,1800.0,0.0,10.3
1699352556.525,44.79,1800.0,0.5,10.3
