Temps,Temperature,Frequency,Cpu_usage,Cpu_memory
1699359084.649,47.225,1800.0,33.3,8.3
1699359084.687,46.251,1800.0,6.7,8.3
1699359084.697,46.738,1800.0,25.0,8.3
1699359084.707,46.738,1800.0,25.0,8.3
1699359084.716,46.738,1800.0,25.0,8.3
1699359084.727,46.738,1800.0,25.0,8.3
1699359084.737,46.738,1800.0,25.0,8.3
1699359084.748,46.738,1800.0,25.0,8.3
1699359084.759,47.225,1800.0,25.0,8.3
1699359084.77,47.225,1800.0,40.0,8.3
1699359084.781,46.251,1800.0,20.0,8.3
1699359084.793,46.251,1800.0,40.0,8.3
1699359084.805,46.251,1800.0,20.0,8.3
1699359084.817,46.251,1800.0,40.0,8.3
1699359084.829,45.764,1800.0,20.0,8.3
1699359084.842,45.764,1800.0,20.0,8.3
1699359084.855,46.251,1800.0,40.0,8.3
1699359084.868,46.251,1800.0,20.0,8.3
1699359084.882,45.764,1800.0,20.0,8.3
1699359084.896,46.738,1800.0,33.3,8.3
1699359084.91,46.738,1800.0,20.0,8.3
1699359084.924,47.225,1800.0,16.7,8.3
1699359084.939,46.738,1800.0,33.3,8.3
1699359084.954,46.738,1800.0,33.3,8.3
1699359084.969,47.712,1800.0,33.3,8.3
1699359084.984,45.764,1800.0,16.7,8.3
1699359085.0,45.764,1800.0,33.3,8.3
1699359085.015,47.225,1800.0,28.6,8.3
1699359085.031,46.738,1800.0,16.7,8.3
1699359085.048,46.738,1800.0,33.3,8.3
1699359085.064,46.738,1800.0,28.6,8.3
1699359085.081,47.225,1800.0,28.6,8.3
1699359085.098,46.738,1800.0,28.6,8.3
1699359085.115,46.738,1800.0,28.6,8.3
1699359085.133,47.225,1800.0,28.6,8.3
1699359085.151,47.225,1800.0,14.3,8.3
1699359085.169,47.225,1800.0,44.4,8.3
1699359085.187,47.225,1800.0,28.6,8.3
1699359085.206,46.738,1800.0,28.6,8.3
1699359085.225,46.738,1800.0,25.0,8.3
1699359085.244,47.712,1800.0,33.3,8.3
1699359085.264,47.712,1800.0,28.6,8.3
1699359085.283,46.251,1800.0,25.0,8.3
1699359085.303,46.738,1800.0,14.3,8.3
1699359085.323,46.251,1800.0,25.0,8.3
1699359085.344,46.738,1800.0,33.3,8.3
1699359085.364,47.225,1800.0,28.6,8.3
1699359085.385,46.251,1800.0,14.3,8.3
1699359085.408,46.251,1800.0,40.0,8.3
