Temps,Temperature,Frequency,Cpu_usage,Cpu_memory,Classe
1698321563.561,49.173,1800.0,33.3,8.6,normal
1698321563.575,50.147,1800.0,16.7,8.6,normal
1698321563.585,50.147,1800.0,25.0,8.6,normal
1698321563.595,49.66,1800.0,33.3,8.6,normal
1698321563.605,49.66,1800.0,25.0,8.6,normal
1698321563.615,49.66,1800.0,25.0,8.6,normal
1698321563.626,49.66,1800.0,40.0,8.6,normal
1698321563.637,49.66,1800.0,40.0,8.6,normal
1698321563.648,49.66,1800.0,0.0,8.6,normal
1698321563.659,49.66,1800.0,40.0,8.6,normal
1698321563.671,49.66,1800.0,25.0,8.6,normal
1698321563.683,49.173,1800.0,20.0,8.6,normal
1698321563.695,49.173,1800.0,25.0,8.6,normal
1698321563.707,50.147,1800.0,33.3,8.6,normal
1698321563.72,49.173,1800.0,25.0,8.6,normal
1698321563.733,49.173,1800.0,33.3,8.6,normal
1698321563.746,49.66,1800.0,20.0,8.6,normal
1698321563.759,49.66,1800.0,33.3,8.6,normal
1698321563.773,50.634,1800.0,20.0,8.6,normal
1698321563.787,49.66,1800.0,33.3,8.6,normal
1698321563.801,49.66,1800.0,20.0,8.6,normal
1698321563.816,49.173,1800.0,20.0,8.6,normal
1698321563.83,49.173,1800.0,33.3,8.6,normal
1698321563.845,49.173,1800.0,16.7,8.6,normal
1698321563.86,49.173,1800.0,33.3,8.6,normal
1698321563.876,49.173,1800.0,20.0,8.6,normal
1698321563.891,49.173,1800.0,28.6,8.6,normal
1698321563.907,49.173,1800.0,28.6,8.6,normal
1698321563.924,49.66,1800.0,20.0,8.6,normal
1698321563.94,49.173,1800.0,28.6,8.6,normal
1698321563.957,49.173,1800.0,28.6,8.6,normal
1698321563.974,50.147,1800.0,37.5,8.6,normal
1698321563.991,49.66,1800.0,16.7,8.6,normal
1698321564.009,49.66,1800.0,28.6,8.6,normal
1698321564.026,49.173,1800.0,16.7,8.6,normal
1698321564.044,49.173,1800.0,28.6,8.6,normal
1698321564.063,50.147,1800.0,28.6,8.6,normal
1698321564.081,49.66,1800.0,33.3,8.6,normal
1698321564.1,48.686,1800.0,16.7,8.6,normal
1698321564.119,49.173,1800.0,25.0,8.6,normal
1698321564.139,49.66,1800.0,33.3,8.6,normal
1698321564.158,49.173,1800.0,28.6,8.6,normal
1698321564.178,49.173,1800.0,33.3,8.6,normal
1698321564.198,50.147,1800.0,25.0,8.6,normal
1698321564.218,49.173,1800.0,33.3,8.6,normal
1698321564.239,50.147,1800.0,28.6,8.6,normal
1698321564.259,49.173,1800.0,33.3,8.6,normal
1698321564.28,49.66,1800.0,22.2,8.6,normal
1698321564.302,49.173,1800.0,33.3,8.6,normal
1698321564.323,49.66,1800.0,25.0,8.6,normal
1698321564.345,50.147,1800.0,25.0,8.6,normal
1698321564.366,50.634,1800.0,22.2,8.6,normal
1698321564.389,49.66,1800.0,33.3,8.6,normal
1698321564.411,49.173,1800.0,25.0,8.6,normal
1698321564.433,49.66,1800.0,22.2,8.6,normal
1698321564.456,49.173,1800.0,30.0,8.6,normal
1698321564.48,49.173,1800.0,25.0,8.6,normal
1698321564.503,50.147,1800.0,30.0,8.6,normal
1698321564.527,49.66,1800.0,30.0,8.6,normal
1698321564.551,49.66,1800.0,22.2,8.6,normal
1698321564.576,49.66,1800.0,30.0,8.6,normal
1698321564.591,49.66,1800.0,28.6,8.6,normal
1698321564.606,49.173,1800.0,20.0,8.6,normal
1698321564.62,49.66,1800.0,33.3,8.6,normal
1698321564.635,49.66,1800.0,20.0,8.6,normal
1698321564.65,49.173,1800.0,28.6,8.6,normal
1698321564.665,50.147,1800.0,33.3,8.6,normal
1698321564.679,50.147,1800.0,20.0,8.6,normal
1698321564.694,49.173,1800.0,33.3,8.6,normal
1698321564.709,49.66,1800.0,28.6,8.6,normal
1698321564.724,49.66,1800.0,33.3,8.6,normal
1698321564.738,49.173,1800.0,33.3,8.6,normal
1698321564.753,49.66,1800.0,16.7,8.6,normal
1698321564.768,49.66,1800.0,33.3,8.6,normal
1698321564.783,49.173,1800.0,20.0,8.6,normal
1698321564.798,50.147,1800.0,28.6,8.6,normal
1698321564.813,50.147,1800.0,33.3,8.6,normal
1698321564.828,49.173,1800.0,33.3,8.6,normal
1698321564.843,50.147,1800.0,16.7,8.6,normal
1698321564.858,50.147,1800.0,33.3,8.6,normal
1698321564.873,49.173,1800.0,20.0,8.6,normal
1698321564.888,49.66,1800.0,28.6,8.6,normal
1698321564.903,49.66,1800.0,20.0,8.6,normal
1698321564.918,49.173,1800.0,33.3,8.6,normal
1698321564.933,50.147,1800.0,16.7,8.6,normal
1698321564.948,50.147,1800.0,42.9,8.6,normal
1698321564.963,50.634,1800.0,20.0,8.6,normal
1698321564.978,50.147,1800.0,37.5,8.6,normal
1698321564.993,50.147,1800.0,20.0,8.6,normal
1698321565.008,50.147,1800.0,20.0,8.6,normal
1698321565.023,49.173,1800.0,16.7,8.6,normal
1698321565.038,49.66,1800.0,42.9,8.6,normal
1698321565.053,49.66,1800.0,16.7,8.6,normal
1698321565.069,48.686,1800.0,33.3,8.6,normal
1698321565.084,50.147,1800.0,33.3,8.6,normal
1698321565.099,50.147,1800.0,28.6,8.6,normal
1698321565.114,50.147,1800.0,20.0,8.6,normal
1698321565.129,49.66,1800.0,33.3,8.6,normal
1698321565.144,49.66,1800.0,16.7,8.6,normal
1698321565.159,49.66,1800.0,20.0,8.6,normal
1698321565.166,49.66,1800.0,50.0,8.6,normal
1698321565.172,49.66,1800.0,33.3,8.6,normal
1698321565.179,49.66,1800.0,0.0,8.6,normal
1698321565.186,49.66,1800.0,33.3,8.6,normal
1698321565.193,49.173,1800.0,0.0,8.6,normal
1698321565.2,49.173,1800.0,33.3,8.6,normal
1698321565.206,49.173,1800.0,0.0,8.6,normal
1698321565.213,49.66,1800.0,33.3,8.6,normal
1698321565.22,49.66,1800.0,0.0,8.6,normal
1698321565.227,49.66,1800.0,50.0,8.6,normal
1698321565.234,49.66,1800.0,0.0,8.6,normal
1698321565.241,50.634,1800.0,33.3,8.6,normal
1698321565.249,50.634,1800.0,25.0,8.6,normal
1698321565.256,50.634,1800.0,0.0,8.6,normal
1698321565.263,50.634,1800.0,50.0,8.6,normal
1698321565.27,50.634,1800.0,0.0,8.6,normal
1698321565.277,50.634,1800.0,33.3,8.6,normal
1698321565.284,49.66,1800.0,0.0,8.6,normal
1698321565.291,49.66,1800.0,33.3,8.6,normal
1698321565.298,49.66,1800.0,33.3,8.6,normal
1698321565.305,49.173,1800.0,33.3,8.6,normal
1698321565.311,49.173,1800.0,0.0,8.6,normal
1698321565.319,49.173,1800.0,33.3,8.6,normal
1698321565.326,49.173,1800.0,33.3,8.6,normal
1698321565.333,49.173,1800.0,33.3,8.6,normal
1698321565.34,49.173,1800.0,0.0,8.6,normal
1698321565.347,50.147,1800.0,33.3,8.6,normal
1698321565.354,50.147,1800.0,33.3,8.6,normal
1698321565.361,50.147,1800.0,0.0,8.6,normal
1698321565.368,49.173,1800.0,0.0,8.6,normal
1698321565.375,49.173,1800.0,33.3,8.6,normal
